Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_GA5759AA_AS	KL20	K20	Low	?-	94.56%	98.28%	n/a	16 / 18 (88.9%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP;KL20_13_wbaZ	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.289%
ESC_GA6911AA_AS	KL55	K55	Good	?-	96.21%	95.75%	n/a	19 / 20 (95%)	KL55_01_galF,98.328%;KL55_03_wzi,97.28%;KL55_04_wza,98.421%;KL55_05_wzb,97.931%;KL55_06_wzc,98.061%;KL55_07_wcaA,98.366%;KL55_08_wcaJ,97.38%;KL55_09_wcpH,97.75%;KL55_10_wcpI,97.333%;KL55_11_wzy,96.948%;KL55_12_wcpJ,97.051%;KL55_13_wzx,97.143%;KL55_14,96.714%;KL55_15_gnd,98.721%;KL55_16_rmlB,96.901%;KL55_17_rmlA,97.569%;KL55_18_rmlD,97.643%;KL55_19_rmlC,95.676%;KL55_20_ugd,98.972%	KL55_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GA8888AA_AS	KL30	K30	Low	?-*	93.63%	95.90%	n/a	19 / 20 (95%)	KL30_01_galF,99.327%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB1558AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB1914AA_AS	KL121	unknown (KL121)	Good	-	96.83%	99.33%	-830 bp	22 / 24 (91.7%)	KL121_01_galF,99.331%;KL121_03_wzi,99.582%;KL121_04_wza,100.0%;KL121_05_wzb,99.324%;KL121_06_wzc,99.861%;KL121_07_wzx,99.769%;KL121_08_wclT,99.624%;KL121_09_wzy,100.0%;KL121_10_wctC,100.0%;KL121_11_wcqS,99.715%;KL121_12_wcqT,100.0%;KL121_13_wcqU,100.0%;KL121_14_gmd,100.0%;KL121_15_wcaG,99.696%;KL121_16_wcaH,99.342%;KL121_17_wcaI,99.507%;KL121_18_wcaJ,99.785%;KL121_19,100.0%;KL121_21_gnd,99.787%;KL121_22_manC,100.0%;KL121_23_manB,99.781%;KL121_24_ugd,99.486%	KL121_02_cpsACP;KL121_20_wcsO	0		0 / 24 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB2136AA_AS	KL54	K54	Good	?*	98.40%	94.40%	n/a	20 / 20 (100%)	KL54_01_galF,97.993%;KL54_02_cpsACP,91.905%;KL54_03_wzi,98.333%;KL54_04_wza,96.561%;KL54_05_wzb,96.552%;KL54_06_wzc,96.932%;KL54_07_wclU,95.09%;KL54_08_wzx,95.343%;KL54_09_wzy,96.399%;KL54_10_wckB,97.222%;KL54_11_wcoS,95.765%;KL54_12_gmd,99.196%;KL54_13_wcaG,96.285%;KL54_14_wcaH,94.079%;KL54_15_wcaI,92.06%;KL54_16_wcaJ,99.145%;KL54_17_gnd,99.574%;KL54_18_manC,97.881%;KL54_19_manB,99.562%;KL54_20_ugd,99.486%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB2141AA_AS	KL123	unknown (KL123)	High	*	99.36%	94.95%	+57 bp	16 / 16 (100%)	KL123_01_galF,98.662%;KL123_02_cpsACP,89.524%;KL123_03_wzi,97.699%;KL123_04_wza,99.202%;KL123_05_wzb,98.621%;KL123_06_wzc,98.336%;KL123_07_wckV,95.13%;KL123_08_wcoX,91.401%;KL123_09_wzy,98.276%;KL123_10_wcuF,95.393%;KL123_11_wckY,97.778%;KL123_12_wzx,98.568%;KL123_13,95.245%;KL123_14_wcaJ,99.147%;KL123_15_gnd,98.081%;KL123_16_ugd,99.229%		0		0 / 16 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4188AA_AS	KL48	K48	Good	?-	100.00%	98.86%	n/a	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_15_wcqE	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4191AA_AS	KL48	K48	Good	?-	100.00%	98.86%	n/a	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_14_wzx	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4195AA_AS	KL50	K50	None	-+*	47.55%	87.42%	-1 bp	4 / 10 (40%)	KL50_01_galF,100.0%;KL50_02_cpsACP,93.333%;KL50_03_wzi,96.238%;KL50_04_wza,91.579%	KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	1	KL48_05_wzb,100.0%	0 / 10 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4202AA_AS	KL50	K50	None	-+*	47.55%	87.42%	-1 bp	4 / 10 (40%)	KL50_01_galF,100.0%;KL50_02_cpsACP,93.333%;KL50_03_wzi,96.238%;KL50_04_wza,91.579%	KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	1	KL48_05_wzb,100.0%	0 / 10 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4203AA_AS	KL48	K48	Good	?	100.00%	98.86%	n/a	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4204AA_AS	KL50	K50	None	-+*	47.55%	87.42%	-1 bp	4 / 10 (40%)	KL50_01_galF,100.0%;KL50_02_cpsACP,93.333%;KL50_03_wzi,96.238%;KL50_04_wza,91.579%	KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	1	KL48_05_wzb,100.0%	0 / 10 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4209AA_AS	KL48	K48	Good	?-	97.39%	98.83%	n/a	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,99.774%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_07_wcaA	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4212AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,99.774%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4216AA_AS	KL50	K50	None	-+*	47.55%	87.42%	-1 bp	4 / 10 (40%)	KL50_01_galF,100.0%;KL50_02_cpsACP,93.333%;KL50_03_wzi,96.238%;KL50_04_wza,91.579%	KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	1	KL48_05_wzb,100.0%	0 / 10 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB4225AA_AS	KL50	K50	None	-+*	47.55%	87.42%	-1 bp	4 / 10 (40%)	KL50_01_galF,100.0%;KL50_02_cpsACP,93.333%;KL50_03_wzi,96.238%;KL50_04_wza,91.579%	KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	1	KL48_05_wzb,100.0%	0 / 10 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB6461AA_AS	KL57	K57	None	?-	88.63%	96.03%	n/a	11 / 18 (61.1%)	KL57_01_galF,98.662%;KL57_03_wzi,96.25%;KL57_04_wza,97.619%;KL57_05_wzb,100.0%;KL57_06_wzc,96.671%;KL57_08_wzx,97.951%;KL57_14_wbaZ,99.479%;KL57_15_gnd,99.36%;KL57_16_manC,96.186%;KL57_17_manB,98.031%;KL57_18_ugd,99.486%	KL57_02_cpsACP;KL57_07_wcaJ;KL57_09_wckX;KL57_10_wckW;KL57_11_wzy;KL57_12;KL57_13_vanT	0		0 / 18 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB6566AA_AS	KL127	unknown (KL127)	Good	?-*	97.31%	94.79%	n/a	17 / 19 (89.5%)	KL127_01_galF,99.331%;KL127_02_cpsACP,93.333%;KL127_03_wzi,96.042%;KL127_04_wza,98.417%;KL127_05_wzb,97.241%;KL127_06_wzc,95.856%;KL127_07_wbaP,94.538%;KL127_08_wctK,95.484%;KL127_09_wzy,94.005%;KL127_11,94.203%;KL127_12_wcpJ,95.225%;KL127_14_gnd,97.655%;KL127_15_rmlB,97.183%;KL127_16_rmlA,98.276%;KL127_17_rmlD,98.99%;KL127_18_rmlC,96.216%;KL127_19_ugd,95.887%	KL127_10;KL127_13	0		0 / 19 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_GB7097AA_AS	KL101	unknown (KL101)	Good	-	98.73%	95.66%	+425 bp	20 / 21 (95.2%)	KL101_01_galF,98.662%;KL101_03_wzi,96.234%;KL101_04_wza,99.472%;KL101_05_wzb,100.0%;KL101_06_wzc,98.752%;KL101_07_wbaP,98.529%;KL101_08_wcaA,98.684%;KL101_09_wcuP,96.454%;KL101_10_wcuR,97.792%;KL101_11,96.675%;KL101_12_wzy,98.721%;KL101_13_wcqP,95.439%;KL101_14_wzx,98.633%;KL101_15_wcuN,98.196%;KL101_16_gnd,99.147%;KL101_17_rmlB,97.746%;KL101_18_rmlA,99.31%;KL101_19_rmlD,98.653%;KL101_20_rmlC,98.919%;KL101_21_ugd,99.743%	KL101_02_cpsACP	0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_GB7098AA_AS	KL101	unknown (KL101)	Good	-	98.73%	95.66%	+425 bp	20 / 21 (95.2%)	KL101_01_galF,98.662%;KL101_03_wzi,96.234%;KL101_04_wza,99.472%;KL101_05_wzb,100.0%;KL101_06_wzc,98.752%;KL101_07_wbaP,98.529%;KL101_08_wcaA,98.684%;KL101_09_wcuP,96.454%;KL101_10_wcuR,97.792%;KL101_11,96.675%;KL101_12_wzy,98.721%;KL101_13_wcqP,95.439%;KL101_14_wzx,98.633%;KL101_15_wcuN,98.196%;KL101_16_gnd,99.147%;KL101_17_rmlB,97.746%;KL101_18_rmlA,99.31%;KL101_19_rmlD,98.653%;KL101_20_rmlC,98.919%;KL101_21_ugd,99.743%	KL101_02_cpsACP	0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_GB8817AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB8820AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB8854AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB8855AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB8857AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB8858AA_AS	KL5	K5	Good	?*	100.00%	98.58%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.308%;KL5_07,99.01%;KL5_08_wzx,99.376%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,98.093%;KL5_18_manB,98.906%;KL5_19_ugd,99.486%		0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9020AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9313AA_AS	KL20	K20	Good	-	94.71%	98.34%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.617%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.52%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9835AA_AS	KL48	K48	Good	?	100.00%	98.86%	n/a	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9836AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9841AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9842AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GB9853AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,98.884%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_GB9909AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,98.884%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_GC0023AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
